cleaned_text,sentiment
"@stellargirl i loooooooovvvvvveee my kindle2 . not that the dx is cool , but the 2 is fantastic in its own right .",1
reading my kindle2 ...   love it ... lee childs is good read .,1
"ok , first assesment of the # kindle2 ... it fucking rocks ! ! !",1
@kenburbary you 'll love your kindle2 . i 've had mine for a few months and never looked back . the new big one is huge ! no need for remorse ! :),1
@mikefish   fair enough . but i have the kindle2 and i think it 's perfect   :),1
@richardebaker no . it is too big . i 'm quite happy with the kindle2 .,1
fuck this economy . i hate aig and their non loan given asses .,0
jquery is my new best friend .,1
loves twitter,1
how can you not love obama ? he makes jokes about himself .,1
check this video out -- president obama at the white house correspondents ' dinner http://bit.ly/imxum,1
"@karoli i firmly believe that obama / pelosi have zero desire to be civil .   it 's a charade and a slogan , but they want to destroy conservatism",0
"house correspondents dinner was last night whoopi , barbara & amp ; sherri went , obama got a standing ovation",1
watchin espn .. jus seen this new nike commerical with a puppet lebron .. sh*t was hilarious ... lmao ! ! !,1
"dear nike , stop with the flywire . that shit is a waste of science . and ugly . love , @vincentx24x",0
"# lebron best athlete of our generation , if not all time ( basketball related ) i do n't want to get into inter - sport debates about    _ _ 1/2",1
i was talking to this guy last night and he was telling me that he is a die hard spurs fan .   he also told me that he hates lebron james .,0
i love lebron . http://bit.ly/pdhur,1
"@ludajuice lebron is a beast , but i 'm still cheering 4 the a .. til the end .",0
@pmillzz lebron is the boss,1
"@sketchbug lebron is a hometown hero to me , lol i love the lakers but let 's go cavs , lol",1
lebron and zydrunas are such an awesome duo,1
@wordwhizkid lebron is a beast ... nobody in the nba comes even close .,1
downloading apps for my iphone ! so much fun :-) there literally is an app for just about anything .,1
"good news , just had a call from the visa office , saying everything is fine ..... what a relief ! i am sick of scams out there ! stealing !",1
http://twurl.nl/epkr4b - awesome come back from @biz ( via @fredwilson ),1
in montreal for a long weekend of r&amp;r . much needed .,1
booz allen hamilton has a bad ass homegrown social collaboration platform . way cool !   # ttiv,1
[ # mluc09 ] customer innovation award winner : booz allen hamilton -- http://ping.fm/c2hpp,1
"@sochi2 i current use the nikon d90 and love it , but not as much as the canon 40d/50d . i chose the d90 for the   video feature . my mistake .",1
need suggestions for a good ir filter for my canon 40d ... got some ? pls dm,1
@surfit : i just checked my google for my business- blip shows up as the second entry ! huh . is that a good or ba ... ? http://blip.fm/~6emhv,1
"@phyreman9 google is always a good place to look . should 've mentioned i worked on the mustang w/ my dad , @kimblet .",1
played with an android google phone . the slide out screen scares me i would break that fucker so fast . still prefer my iphone .,0
us planning to resume the military tribunals at guantanamo bay ... only this time those on trial will be aig execs and chrysler debt holders,0
omg so bored & amp ; my tattoooos are so itchy ! !   help ! aha =),0
i 'm itchy and miserable !,0
"@sekseemess no . i 'm not itchy for now . maybe later , lol .",0
rt @jessverr i love the nerdy stanford human biology videos - makes me miss school . http://bit.ly/13t7nr,1
"@spinuzzi : has been a bit crazy , with steep learning curve , but lyx is really good for long docs . for anything shorter , it would be insane .",1
"i 'm listening to "" p.y.t "" by danny gokey & lt;3 & lt;3 & lt;3 aww , he 's so amazing . i & lt;3 him so much :)",1
is going to sleep then on a bike ride :],1
ca nt sleep ... my tooth is aching .,0
"blah , blah , blah same old same old . no plans today , going back to sleep i guess .",0
"glad i did nt do bay to breakers today , it 's 1000 freaking degrees in san francisco wtf",0
is in san francisco at bay to breakers .,1
just landed at san francisco,1
san francisco today .   any suggestions ?,1
? obama administration must stop bonuses to aig ponzi schemers ... http://bit.ly/2cuig,0
started to think that citi is in really deep s&amp;^t . are they gon na survive the turmoil or are they gon na be the next aig ?,0
shaunwoo hate'n on aig,0
@yarnthing you will not regret going to see star trek . it was awesome !,1
on my way to see star trek @ the esquire .,1
going to see star trek soon with my dad .,1
annoying new trend on the internets :   people picking apart michael lewis and malcolm gladwell .   nobody wants to read that .,0
bill simmons in conversation with malcolm gladwell http://bit.ly/j9o50,1
highly recommend : http://tinyurl.com/howdavidbeatsgoliath by malcolm gladwell,1
blink by malcolm gladwell amazing book and the tipping point !,1
malcolm gladwell might be my new man crush,1
omg . the commercials alone on espn are going to drive me nuts .,0
@robmalon playing with twitter api sounds fun .   may need to take a class or find a new friend who like to generate results with api code .,1
playing with curl and the twitter api,1
hello twitter api ;),1
playing with java and the twitter api,1
@morind45 because the twitter api is slow and most client 's are n't good .,0
yahoo answers can be a butt sometimes,0
is scrapbooking with nic = d,1
rt @mashable : five things wolfram alpha does better ( and vastly different ) than google - http://bit.ly/6nsnr,1
just changed my default pic to a nike basketball cause bball is awesome ! ! ! ! !,1
"nike owns nba playoffs ads w/ lebron , kobe , carmelo ? http://ow.ly/7uiy   # adidas # billups # howard   # marketing # branding",1
"' next time , i 'll call myself nike '",1
new blog post : nike sb dunk low premium ' white gum ' http://tr.im/lott,1
rt @smartchickpdx : was just told that nike layoffs started today :-(,0
back when i worked for nike we had one fav word : just do it ! :),1
"by the way , i 'm totally inspired by this freaky nike commercial : http://snurl.com/icgj9",1
"giving weka an app engine interface , using the bird strike data for the tests , the logo is a given .",1
"brand new canon eos 50d 15mp dslr camera canon 17 - 85 mm is lens ... : web technology thread , brand new canon eos 5 .. http://u.mavrev.com/5a3 t",1
class ... the 50d is supposed to come today :),1
needs someone to explain lambda calculus to him ! :(,0
took the graduate field exam for computer science today .   nothing makes you feel like more of an idiot than lambda calculus .,0
shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta ! also thanks to profits of doom universal hempz cracka ......,1
"@legalgeekery yeahhhhhhhhh , i would n't really have lived in east palo alto if i could have avoided it .   i guess it 's only for the summer .",0
@accannis @edog1203 great stanford course . thanks for making it available to the public ! really helpful and informative for starting off !,1
"nvidia names stanford 's bill dally chief scientist , vp of research http://bit.ly/fvvg9",1
new blog post : harvard versus stanford - who wins ? http://bit.ly/mcoco,1
@ work til 6 pm ... lets go lakers ! ! !,1
damn you north korea . http://bit.ly/ktmeq,0
can we just go ahead and blow north korea off the map already ?,0
"north korea , please cease this douchebaggery . china does n't even like you anymore . http://bit.ly/nehsl",0
why the hell is pelosi in freakin china ? and on whose dime ?,0
"are you burning more cash $ $ $ than chrysler and gm ? stop the financial tsunami . where "" bailout "" means taking a handout !",0
insects have infected my spinach plant :(,0
wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,0
"just got back from church , and i totally hate insects .",0
just got mcdonalds goddam those eggs make me sick . o yeah laker up date go lakers . not much of an update ? well it 's true so suck it,0
omgg i ohhdee want mcdonalds damn i wonder if its open lol =],1
history exam studying ugh,0
"i hate revision , it 's so boring ! i am totally unprepared for my exam tomorrow :( things are not looking good ...",0
"higher physics exam tommorow , not lookin forward to it much :(",0
"it 's a bank holiday , yet i 'm only out of work now . exam season sucks :(",0
cheney and bush are the real culprits - http://fwix.com/article/939496,0
life?s a bitch ? and so is dick cheney . # p2 # bipart # tlot # tcot # hhrs # gop # dnc http://is.gd/djyq,0
"dick cheney 's dishonest speech about torture , terror , and obama . -fred kaplan slate . http://is.gd/dihg",0
""" the republican party is a bunch of anti - abortion zealots who could n't draw flies to a dump . "" -- neal boortz ( just now , on the radio )",0
is twitter 's connections api broken ? some tweets did n't make it to twitter ...,0
